sep=,
489,24,6,6,5,6,6,5,6,5,5,6,5,6,6,6,5,21,6,21,5,6,5,6,6,6,6,22,6,21,6,21,5,21,21,6,6,6,6,5,21,21,6,6,5,5,22,21,21,6,22,5,6,6,6,6,5,6,6,6,7,6,6,6,21,5,6,6,6,6,6,5,6,5,6,6,6,6,5,6
6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,21,6,6,5,5,6,6,6,6,6,5,6,21,6,6,6,6,6,7,5,6,6,21,6,21,6,6,6,6,21,22,6,6,6,5,6,6,5,6,6,6,5,5,6,6,6,6,6,21,6,6,7,6,6,6,6,6,6,21,6
6,6,5,21,6,6,6,6,6,6,7,6,6,6,6,6,5,21,21,6,6,22,22,6,5,6,6,5,6,6,5,5,5,5,22,6,22,5,21,5,6,5,21,21,7,6,6,5,6,6,5,3,6,7,6,6,5,7,6,6,6,5,6,6,6,6,6,7,22,6,6,6,6,6,21,22,5,6,6,5
6,6,7,6,6,5,7,22,21,21,5,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,21,6,21,5,5,6,22,6,7,5,6,6,6,5,6,6,6,6,5,6,21,6,21,6,6,5,6,6,21,6,21,6,6,6,7,21,5,5,5,6,22,6,6,6,7,5,22,5,5,6,6,22,6,6
7,6,6,5,22,22,6,6,6,6,6,5,6,6,6,6,21,6,6,6,5,6,6,5,5,6,5,5,21,6,7,5,6,6,21,6,6,6,5,6,5,5,6,6,23,6,6,6,5,5,5,21,6,5,6,22,21,6,7,6,6,6,5,5,6,6,5,6,7,6,21,6,6,21,21,6,6,6,6,6
6,5,6,6,21,6,5,7,21,6,6,5,21,6,5,6,6,6,22,6,6,6,21,6,5,6,6,6,21,6,6,6,6,6,6,6,6,5,21,6,6,6,5,6,6,7,6,6,6,5,6,6,5,6,5,6,5,6,6,6,6,21,5,6,5,7,21,6,6,6,21,6,6,5,6,5,6,21,21,5
21,6,6,5,7,6,5,6,5,5,6,5,6,7,21,6,5,21,21,5,6,6,6,21,21,6,5,5,6,6,21,6,6,5,6,5,6,5,6,6,21,24,6,21,6,5,5,21,6,6,5,21,5,6,21,6,6,5,5,21,6,21,6,5,6,21,22,21,6,5,5,6,5,6,6,21,6,6,6,7
6,5,6,6,5,6,22,6,6,5,21,5,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,21,6,6,22,6,22,5,6,5,7,5,6,6,6,6,5,21,6,6,6,7,5,6,6,6,6,6,6,6,7,21,6,5,5,21,6,6,8,24,6,6,5,6,5,6,5,6,21,7,22,22,6,6
6,21,5,7,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,5,7,6,22,6,6,6,21,5,6,6,6,6,6,6,5,5,6,22,7,21,6,5,6,6,6,6,7,7,6,6,5,6,6,6,21,6,5,6,6,5,6,6,6,6,6,21,22,5,21,6,6,6,6,6,6
5,6,6,6,6,6,6,5,6,7,6,7,6,21,6,6,5,6,22,6,6,22,6,6,5,5,6,6,7,6,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,6,6,5,6,26,6,6,6,6,6,5,5,6,5,7,6,6,11,6,21,21,6,6,25,6,22,21,5,6,6,5,6,6,6,5
